Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,24634,2029.7150280100675,8,21,0.08524803117642284,0,0,0.0,8,21,0.08524803117642284,1,3349.0,3348,3349,3349,3349,50000,478.6236,53,50815,814,949,50000
2,21237,2354.3815039789047,8,17,0.08004897113528275,0,0,0.0,8,17,0.08004897113528275,1,1542.0,1542,1542,1542,1542,50000,413.14184,54,46271,750,919,50000
3,22764,2196.450535933931,8,20,0.08785802143735723,0,0,0.0,8,20,0.08785802143735723,1,1458.0,1458,1458,1458,1458,50000,446.6441,53,64063,786,925,50000
4,17386,2875.8771425284713,8,18,0.10353157713102495,0,0,0.0,8,18,0.10353157713102495,1,2461.0,2460,2461,2461,2461,50000,336.76148,53,62143,624,791,50000
5,22259,2246.282402623658,8,19,0.08535873129969901,0,0,0.0,8,19,0.08535873129969901,1,3269.0,3268,3269,3269,3269,50000,432.57024,53,62431,739,1014,50000
6,23547,2123.412748970145,8,17,0.07219603346498493,0,0,0.0,8,17,0.07219603346498493,1,2237.0,2236,2237,2237,2237,50000,457.49244,54,51103,794,899,50000
7,22290,2243.1583669807087,8,13,0.05832211754149843,0,0,0.0,8,13,0.05832211754149843,1,4025.0,4024,4025,4025,4025,50000,433.24616,53,64447,788,915,50000
8,21938,2279.1503327559485,8,18,0.08204941197921414,0,0,0.0,8,18,0.08204941197921414,1,2735.0,2734,2735,2735,2735,50000,426.59824,53,59519,764,908,50000
9,22047,2267.8822515534994,8,19,0.08617952555903298,0,0,0.0,8,19,0.08617952555903298,1,3327.0,3326,3327,3327,3327,50000,429.22404,54,47679,765,887,50000
10,21941,2278.8387037965454,8,21,0.0957112255594549,0,0,0.0,8,21,0.0957112255594549,1,2263.0,2262,2263,2263,2263,50000,426.39062,54,59551,771,897,50000
