Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation(ms),TOTAL_GC_TIME_%_G1_Young_Generation,TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation(ms),TOTAL_GC_TIME_%_G1_Old_Generation,TOTAL_GCs_Count,TOTAL_GC_TIME(ms),TOTAL_GC_TIME_%,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,24478,2042.6505433450445,8,23,0.09396192499387204,0,0,0.0,8,23,0.09396192499387204,1,1887.0,1887,1887,1887,1887,50000,474.48116,60,63199,792,964,50000
2,23705,2109.259649862898,8,17,0.07171482809533854,0,0,0.0,8,17,0.07171482809533854,1,4154.0,4152,4155,4155,4155,50000,461.32108,60,59231,764,876,50000
3,23264,2149.2434662998626,8,20,0.08596973865199449,0,0,0.0,8,20,0.08596973865199449,1,3595.0,3594,3595,3595,3595,50000,452.45952,60,63807,769,926,50000
4,24707,2023.7179746630509,8,20,0.08094871898652203,0,0,0.0,8,20,0.08094871898652203,1,3433.0,3432,3433,3433,3433,50000,480.6066,61,76351,787,976,50000
5,24573,2034.7535913400886,8,21,0.08545965083628373,0,0,0.0,8,21,0.08545965083628373,1,3357.0,3356,3357,3357,3357,50000,477.9315,62,49759,798,964,50000
6,24524,2038.8191159680314,8,20,0.08155276463872126,0,0,0.0,8,20,0.08155276463872126,1,3443.0,3442,3443,3443,3443,50000,477.2724,64,55935,814,991,50000
7,24678,2026.0961179998378,8,18,0.07293946024799416,0,0,0.0,8,18,0.07293946024799416,1,3489.0,3488,3489,3489,3489,50000,479.92464,54,64159,799,970,50000
8,24478,2042.6505433450445,8,18,0.0735354195604216,0,0,0.0,8,18,0.0735354195604216,1,3123.0,3122,3123,3123,3123,50000,476.22304,64,227199,806,988,50000
9,25760,1940.9937888198758,8,21,0.08152173913043478,0,0,0.0,8,21,0.08152173913043478,1,2159.0,2158,2159,2159,2159,50000,501.50576,56,61247,814,967,50000
10,26064,1918.3548189073051,8,21,0.08057090239410682,0,0,0.0,8,21,0.08057090239410682,1,2919.0,2918,2919,2919,2919,50000,507.17822,60,58335,838,996,50000
