Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
1,20037,2495.383540450674,10,26,0.1297599419847313,0,0,0.0,10,26,0.1297599419847313,25184,346.72148,53,43463,750,862,25184,1,1056.0,1056,1056,1056,1056,24816,431.888888888889,76,64063,862,997,24816
2,23229,2154.0670480234694,15,32,0.1378091575299765,0,0,0.0,15,32,0.1378091575299765,25197,391.14184,54,59515,757,914,25197,1,1161.0,1161,1161,1161,1161,24803,432.5075268817204,77,67791,914,1095,24803
3,21938,2279.1503307504301,15,33,0.1503305189752688,0,0,0.0,15,33,0.1503305189752688,25000,371.596166980708,53,53480,756,891,25000,1,1919.0,1919,1919,1919,1919,24615,423.5149253731343,70,72431,891,1075,24615
4,22259,2243.158301623658,15,31,0.1388888888888889,0,0,0.0,15,31,0.1388888888888889,25000,357.1373137921284,54,53760,757,913,25000,1,2237.0,2236,2237,2237,2237,24847,429.2721649484536,69,6450,913,1091,24847
5,23547,2123.412748970145,15,31,0.1318181818181818,0,0,0.0,15,31,0.1318181818181818,25000,376.1642408043091,54,59535,765,928,25000,1,2333.0,2332,2333,2333,2333,24826,437.5773333333333,70,6779,928,1091,24826
6,22047,2267.8822515534985,15,32,0.1443273379033015,0,0,0.0,15,32,0.1443273379033015,25000,358.2616698704189,54,53791,757,913,25000,1,2461.0,2460,2461,2461,2461,24847,433.8128117699115,69,6450,913,1091,24847
7,21401,2334.219846980708,15,31,0.1408450704225352,0,0,0.0,15,31,0.1408450704225352,25000,375.1504600060096,54,57363,757,913,25000,1,2335.0,2334,2335,2335,2335,24847,432.5303131542801,69,6450,913,1091,24847
8,21941,2277.5779198255786,15,32,0.1467889908256880,0,0,0.0,15,32,0.1467889908256880,25000,357.12844,54,57791,757,913,25000,1,2735.0,2734,2735,2735,2735,24847,432.5303131542801,69,6450,913,1091,24847
9,22013,2272.4237288135593,15,32,0.1451612903225806,0,0,0.0,15,32,0.1451612903225806,25000,371.24288,54,57741,757,913,25000,1,2537.0,2536,2537,2537,2537,24847,432.5303131542801,69,6450,913,1091,24847
10,21901,2283.6575210832211,15,32,0.1459004081632653,0,0,0.0,15,32,0.1459004081632653,25000,357.38994,54,57741,757,913,25000,1,2735.0,2734,2735,2735,2735,24847,432.5303131542801,69,6450,913,1091,24847
