Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation(ms),TOTAL_GC_TIME_%_G1_Young_Generation,TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation(ms),TOTAL_GC_TIME_%_G1_Old_Generation,TOTAL_GCs_Count,TOTAL_GC_TIME(ms),TOTAL_GC_TIME_%,READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
1,14329,3489.4270360806754,11,28,0.19540791402051783,0,0,0.0,11,28,0.19540791402051783,44990,257.3161369193154,49,43807,469,594,44990,1,2495.0,2494,2495,2495,2495,5010,449.3071856287425,110,4651,666,802,5010
2,13985,3575.2592062924564,11,26,0.18591347872720773,0,0,0.0,11,26,0.18591347872720773,44897,251.75572978149987,53,46687,456,562,44897,1,2345.0,2344,2345,2345,2345,5103,432.5436018028611,125,5643,636,743,5103
3,13593,3678.3638637534027,11,28,0.20598837637019052,0,0,0.0,11,28,0.20598837637019052,45083,244.14515449282433,52,67391,466,582,45083,1,2463.0,2462,2463,2463,2463,4917,424.68415700630464,114,6735,673,818,4917
4,14708,3399.510470492249,11,31,0.21076964917051944,0,0,0.0,11,31,0.21076964917051944,44919,264.39842828201876,52,57215,476,578,44919,1,3389.0,3388,3389,3389,3389,5081,458.92855737059637,108,8359,665,790,5081
5,14110,3543.586109142452,11,27,0.1913536498936924,0,0,0.0,11,27,0.1913536498936924,44969,253.986879862818,50,44479,464,559,44969,1,3263.0,3262,3263,3263,3263,5031,438.51441065394556,120,5791,645,744,5031
6,14339,3486.9935141920637,11,28,0.19527163679475557,0,0,0.0,11,28,0.19527163679475557,44955,256.1590479368257,53,53887,472,594,44955,1,3265.0,3264,3265,3265,3265,5045,442.7173439048563,127,6027,670,836,5045
7,14109,3543.8372669927,11,28,0.1984548869515912,0,0,0.0,11,28,0.1984548869515912,44968,253.853228962818,52,55967,463,563,44968,1,2131.0,2130,2131,2131,2131,5032,437.7647058823529,103,7591,655,766,5032
8,14419,3467.6468548443027,11,31,0.21499410500034677,0,0,0.0,11,31,0.21499410500034677,44990,260.13249611024673,51,40831,470,567,44990,1,2317.0,2316,2317,2317,2317,5010,446.8203592814371,92,4575,655,757,5010
9,14252,3508.2795397137243,11,30,0.21049677238282344,0,0,0.0,11,30,0.21049677238282344,44941,256.37658263056005,51,54335,467,569,44941,1,2451.0,2450,2451,2451,2451,5059,441.48823878236806,118,7655,653,770,5059
10,13844,3611.67292689974,11,29,0.20947702976018492,0,0,0.0,11,29,0.20947702976018492,44959,249.11078983073466,53,61471,455,560,44959,1,2987.0,2986,2987,2987,2987,5041,429.36361832969646,132,6995,637,738,5041
