Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK,INSERT_Return=ERROR,INSERT-FAILED_Operations,INSERT-FAILED_AverageLatency(us),INSERT-FAILED_MinLatency(us),INSERT-FAILED_MaxLatency(us),INSERT-FAILED_95thPercentileLatency(us),INSERT-FAILED_99thPercentileLatency(us)
1,263,3.802281368821293,1,2,0.7604562737642585,0,0,0.0,1,2,0.7604562737642585,1,2525,2524,2525,2525,2525,1,65168,65152,65183,65183,65183,1,1,1,11156,11152,11159,11159,11159
2,252,3.9682539682539684,1,2,0.7936507936507936,0,0,0.0,1,2,0.7936507936507936,1,1959,1959,1959,1959,1959,1,58320,58304,58335,58335,58335,1,1,1,1964,1964,1964,1964,1964
3,285,3.508771929824561,1,1,0.3508771929824561,0,0,0.0,1,1,0.3508771929824561,1,2013,2013,2013,2013,2013,1,71456,71424,71487,71487,71487,1,1,1,3199,3198,3199,3199,3199
4,253,3.952569169960474,1,2,0.7905138339920948,0,0,0.0,1,2,0.7905138339920948,1,2018,2018,2018,2018,2018,1,56144,56128,56159,56159,56159,1,1,1,2829,2828,2829,2829,2829
5,296,3.3783783783783785,1,2,0.6756756756756757,0,0,0.0,1,2,0.6756756756756757,1,3377,3376,3377,3377,3377,1,77856,77824,77887,77887,77887,1,1,1,3657,3656,3657,3657,3657
6,281,3.5587188612099645,1,2,0.7117437722419928,0,0,0.0,1,2,0.7117437722419928,1,3447,3446,3447,3447,3447,1,75872,75840,75903,75903,75903,1,1,1,4474,4472,4475,4475,4475
7,294,3.401360544217687,1,2,0.6802721088435374,0,0,0.0,1,2,0.6802721088435374,1,2367,2366,2367,2367,2367,1,70624,70592,70655,70655,70655,1,1,1,4702,4700,4703,4703,4703
8,258,3.875968992248062,1,2,0.7751937984496124,0,0,0.0,1,2,0.7751937984496124,1,2095,2094,2095,2095,2095,1,59120,59104,59135,59135,59135,1,1,1,5166,5164,5167,5167,5167
9,278,3.597122302158273,1,2,0.7194244604316548,0,0,0.0,1,2,0.7194244604316548,1,2967,2966,2967,2967,2967,1,76256,76224,76287,76287,76287,1,1,1,4810,4808,4811,4811,4811
10,278,3.597122302158273,1,2,0.7194244604316548,0,0,0.0,1,2,0.7194244604316548,1,3429,3428,3429,3429,3429,1,65488,65472,65503,65503,65503,1,1,1,4266,4264,4267,4267,4267
