Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,14442,3462.1243595069936,8,14,0.09693948206619582,0,0,0.0,8,14,0.09693948206619582,1,2145,2144,2145,2145,2145,50000,279.2633,53,53247,431,576,50000
2,14711,3398.8172116103597,8,13,0.08836924750186935,0,0,0.0,8,13,0.08836924750186935,1,1609,1609,1609,1609,1609,50000,284.9773,54,245247,434,576,50000
3,14425,3466.204506065858,8,12,0.0831889081455806,0,0,0.0,8,12,0.0831889081455806,1,1941,1941,1941,1941,1941,50000,279.20852,53,58975,430,571,50000
4,14642,3414.8340390657013,8,14,0.09561535309383964,0,0,0.0,8,14,0.09561535309383964,1,1811,1811,1811,1811,1811,50000,283.37484,54,52767,438,593,50000
5,14840,3369.2722371967657,8,13,0.0876010781671159,0,0,0.0,8,13,0.0876010781671159,1,1553,1553,1553,1553,1553,50000,287.29586,52,107007,436,581,50000
6,14640,3415.3005464480875,8,12,0.08196721311475409,0,0,0.0,8,12,0.08196721311475409,1,2129,2128,2129,2129,2129,50000,283.3178,53,67711,436,579,50000
7,14584,3428.414701042238,8,14,0.09599561162918266,0,0,0.0,8,14,0.09599561162918266,1,1490,1490,1490,1490,1490,50000,281.905,53,62463,435,588,50000
8,15036,3325.3524873636607,8,14,0.0931098696461825,0,0,0.0,8,14,0.0931098696461825,1,2593,2592,2593,2593,2593,50000,291.17086,53,61567,449,610,50000
9,15072,3317.4097664543524,8,12,0.07961783439490447,0,0,0.0,8,12,0.07961783439490447,1,1970,1970,1970,1970,1970,50000,291.43612,53,60959,449,637,50000
10,14990,3335.5570380253503,8,12,0.0800533689126084,0,0,0.0,8,12,0.0800533689126084,1,1799,1799,1799,1799,1799,50000,289.73608,53,48319,443,587,50000
