Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
1,23448,2132.3780279768,11,43,0.18338451040600479,0,0,0.0,11,43,0.18338451040600479,44889,424.01648510771014,48,46207,934,1202,44889,1,4982.0,4980,4983,4983,4983,5111,725.2993543337899,164,5687,1303,1626,5111
2,20106,2486.8198547697207,11,35,0.17407738983388044,0,0,0.0,11,35,0.17407738983388044,44971,363.6226457050099,47,6215,859,1121,44971,1,3089.0,3088,3089,3089,3089,5029,627.0678067210181,112,55039,1180,1478,5029
3,19694,2538.8443180664162,11,33,0.16756372499238348,0,0,0.0,11,33,0.16756372499238348,45086,355.09173579381627,48,6271,842,1083,45086,1,2155.0,2154,2155,2155,2155,4914,631.1273911273911,92,50047,1169,1444,4914
4,20829,2400.499303855202,11,31,0.14883095683902253,0,0,0.0,11,31,0.14883095683902253,44984,376.409790147608,48,38879,872,1128,44984,1,2309.0,2308,2309,2309,2309,5016,653.758971291866,152,4167,1225,1522,5016
5,19465,2568.7130747495503,11,28,0.1438479321859748,0,0,0.0,11,28,0.1438479321859748,45014,352.20995690229705,49,35103,844,1095,45014,1,1719.0,1719,1719,1719,1719,4986,598.0651825110309,90,4251,1161,1447,4986
6,21610,2313.743637204998,11,35,0.16196205460434984,0,0,0.0,11,35,0.16196205460434984,45001,391.73518366258526,48,51423,875,1120,45001,1,2335.0,2334,2335,2335,2335,4999,662.7715543108621,117,6059,1188,1455,4999
7,20239,2470.477790404664,11,34,0.16799248974751715,0,0,0.0,11,34,0.16799248974751715,45068,367.69963166770214,49,53151,854,1112,45068,1,3901.0,3900,3901,3901,3901,4932,626.4673560421736,100,7183,1167,1433,4932
8,20736,2411.2654320987654,11,33,0.15914351851851852,0,0,0.0,11,33,0.15914351851851852,45139,376.4996787700215,47,50847,862,1102,45139,1,3273.0,3272,3273,3273,3273,4861,643.294795309607,134,6643,1177,1461,4861
9,22463,2225.882562436006,11,31,0.13800471887103236,0,0,0.0,11,31,0.13800471887103236,45009,408.168010842276,48,59071,893,1145,45009,1,4942.0,4940,4943,4943,4943,4991,685.5449809657383,150,5743,1229,1529,4991
10,18853,2652.0978093672093,11,28,0.14851747732456375,0,0,0.0,11,28,0.14851747732456375,45065,340.0634638854987,48,36223,835,1116,45065,1,3189.0,3188,3189,3189,3189,4935,597.9381965552178,115,4551,1163,1476,4935
