Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,1625,30769.23076923077,2,3,0.1846153846153846,0,0,0.0,2,3,0.1846153846153846,1,480.0,480,480,480,480,50000,30.9348,25,4107,52,94,50000
2,1609,31075.20198881293,2,3,0.18645121193287756,0,0,0.0,2,3,0.18645121193287756,1,547.0,547,547,547,547,50000,30.64998,25,2827,52,80,50000
3,1670,29940.119760479043,2,3,0.17964071856287425,0,0,0.0,2,3,0.17964071856287425,1,494.0,494,494,494,494,50000,31.78344,25,2959,47,72,50000
4,1692,29550.827423167848,2,3,0.1773049645390071,0,0,0.0,2,3,0.1773049645390071,1,374.0,374,374,374,374,50000,32.14972,25,2899,56,82,50000
5,1752,28538.812785388127,2,2,0.1141552511415525,0,0,0.0,2,2,0.1141552511415525,1,514.0,514,514,514,514,50000,33.42498,25,6003,57,79,50000
6,1630,30674.84662576687,2,3,0.18404907975460122,0,0,0.0,2,3,0.18404907975460122,1,396.0,396,396,396,396,50000,30.96396,25,3203,45,75,50000
7,1652,30266.34382566586,2,3,0.18159806295399517,0,0,0.0,2,3,0.18159806295399517,1,617.0,617,617,617,617,50000,31.51902,25,3255,53,70,50000
8,1753,28522.532800912722,2,3,0.17113519680547634,0,0,0.0,2,3,0.17113519680547634,1,496.0,496,496,496,496,50000,33.25472,25,2729,55,96,50000
9,1670,29940.119760479043,2,3,0.17964071856287425,0,0,0.0,2,3,0.17964071856287425,1,501.0,501,501,501,501,50000,31.89712,25,3125,55,83,50000
10,1730,28901.73410404624,2,3,0.17341040462427745,0,0,0.0,2,3,0.17341040462427745,1,511.0,511,511,511,511,50000,32.95394,24,2969,57,76,50000
