Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,2415,20703.933747412008,4,5,0.2070393374741201,0,0,0.0,4,5,0.2070393374741201,1,438.0,438,438,438,438,50000,46.2248,33,4551,82,131,50000
2,1844,27114.967462039047,4,5,0.27114967462039047,0,0,0.0,4,5,0.27114967462039047,1,439.0,439,439,439,439,50000,35.26016,28,3057,52,82,50000
3,1832,27292.576419213972,4,5,0.2729257641921397,0,0,0.0,4,5,0.2729257641921397,1,407.0,407,407,407,407,50000,34.95964,28,2871,53,90,50000
4,1851,27012.425715829282,4,6,0.3241491085899514,0,0,0.0,4,6,0.3241491085899514,1,509.0,509,509,509,509,50000,35.26032,28,2937,53,93,50000
5,1904,26260.504201680673,4,5,0.26260504201680673,0,0,0.0,4,5,0.26260504201680673,1,455.0,455,455,455,455,50000,36.2666,28,3669,59,91,50000
6,1994,25075.225677031092,4,5,0.25075225677031093,0,0,0.0,4,5,0.25075225677031093,1,742.0,742,742,742,742,50000,37.988,28,4595,59,95,50000
7,1942,25746.652935118436,4,6,0.30895983522142123,0,0,0.0,4,6,0.30895983522142123,1,458.0,458,458,458,458,50000,37.0658,28,3429,58,95,50000
8,1962,25484.199796126402,4,5,0.254841997961264,0,0,0.0,4,5,0.254841997961264,1,460.0,460,460,460,460,50000,37.4436,28,3081,58,85,50000
9,2083,24003.84061449832,4,6,0.28804608737397985,0,0,0.0,4,6,0.28804608737397985,1,406.0,406,406,406,406,50000,39.69548,28,3605,72,89,50000
10,1909,26191.723415400735,4,5,0.26191723415400736,0,0,0.0,4,5,0.26191723415400736,1,492.0,492,492,492,492,50000,36.51662,28,3067,61,92,50000
