Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,2046,24437.927663734114,4,6,0.2932551319648094,0,0,0.0,4,6,0.2932551319648094,1,597.0,597,597,597,597,50000,39.15916,28,3057,71,89,50000
2,1840,27173.91304347826,4,6,0.32608695652173914,0,0,0.0,4,6,0.32608695652173914,1,469.0,469,469,469,469,50000,35.0838,28,3199,51,81,50000
3,1865,26809.65147453083,4,6,0.32171581769436997,0,0,0.0,4,6,0.32171581769436997,1,443.0,443,443,443,443,50000,35.60902,27,4271,56,81,50000
4,2009,24888.003982080673,4,6,0.2986560477849677,0,0,0.0,4,6,0.2986560477849677,1,430.0,430,430,430,430,50000,38.39538,28,3481,69,91,50000
5,1996,25075.225677031092,4,6,0.30060120240480964,0,0,0.0,4,6,0.30060120240480964,1,423.0,423,423,423,423,50000,38.1481,28,3847,60,95,50000
6,1935,25839.793281653747,4,5,0.2583979328165375,0,0,0.0,4,5,0.2583979328165375,1,438.0,438,438,438,438,50000,35.12266,28,3169,51,84,50000
7,2031,24618.41457410143,4,6,0.29542097488921715,0,0,0.0,4,6,0.29542097488921715,1,417.0,417,417,417,417,50000,38.64842,28,3605,63,90,50000
8,1839,27188.68950516585,4,5,0.27188689505165853,0,0,0.0,4,5,0.27188689505165853,1,556.0,556,556,556,556,50000,35.08632,28,3167,48,82,50000
9,1854,26968.71628910464,4,6,0.3236245954692557,0,0,0.0,4,6,0.3236245954692557,1,441.0,441,441,441,441,50000,35.29196,28,4103,58,87,50000
10,1845,27100.271002710026,4,5,0.27100271002710026,0,0,0.0,4,5,0.27100271002710026,1,435.0,435,435,435,435,50000,35.08632,28,3081,58,85,50000
