Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,2363,21159.542953872195,4,6,0.25391451544646637,0,0,0.0,4,6,0.25391451544646637,1,611.0,611,611,611,611,50000,45.09394,31,7199,71,125,50000
2,1922,26014.568158168575,4,6,0.31217481789802287,0,0,0.0,4,6,0.31217481789802287,1,455.0,455,455,455,455,50000,36.72274,28,3861,64,95,50000
3,1870,26737.9679144385,4,7,0.37433155080213903,0,0,0.0,4,7,0.37433155080213903,1,493.0,493,493,493,493,50000,35.65938,28,3431,58,83,50000
4,1904,26260.504201680673,4,7,0.3676470588235294,0,0,0.0,4,7,0.3676470588235294,1,488.0,488,488,488,488,50000,36.3216,28,3957,61,88,50000
5,1950,25641.02564102564,4,7,0.358974358974359,0,0,0.0,4,7,0.358974358974359,1,509.0,509,509,509,509,50000,37.14974,29,3885,60,91,50000
6,2112,23674.242424242424,4,7,0.3314393939393939,0,0,0.0,4,7,0.3314393939393939,1,815.0,815,815,815,815,50000,40.20776,29,5387,73,105,50000
7,1891,26441.036488630354,4,7,0.370174510840825,0,0,0.0,4,7,0.370174510840825,1,486.0,486,486,486,486,50000,36.01072,29,3697,55,78,50000
8,1901,26301.946344029457,4,6,0.31562335612835346,0,0,0.0,4,6,0.31562335612835346,1,497.0,497,497,497,497,50000,36.21596,29,3217,58,109,50000
9,1906,26232.948583420777,4,7,0.36726128016789084,0,0,0.0,4,7,0.36726128016789084,1,436.0,436,436,436,436,50000,36.3627,29,4039,60,95,50000
10,1817,27517.8866263071,4,7,0.3852504127682994,0,0,0.0,4,7,0.3852504127682994,1,478.0,478,478,478,478,50000,34.63404,29,3651,53,83,50000
