Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,1726,28968.713789107762,2,3,0.17381228273464658,0,0,0.0,2,3,0.17381228273464658,4920,14.620325203252033,10,2040,27,42,4920,1,416.0,416,416,416,416,45080,34.40851818988465,25,2851,58,86,45080
2,1659,30138.637733574444,2,3,0.18083182640144665,0,0,0.0,2,3,0.18083182640144665,5122,13.87680593518157,10,1864,27,35,5122,1,517.0,517,517,517,517,44878,33.36657159409956,25,2881,56,83,44878
3,1630,30674.84662576687,2,2,0.12269938650306746,0,0,0.0,2,2,0.12269938650306746,5122,13.952868030485359,10,1955,23,36,5122,1,535.0,535,535,535,535,44878,32.71277858792997,25,2827,53,72,44878
4,1812,27593.818984547463,2,3,0.1655089514066496,0,0,0.0,2,3,0.1655089514066496,5007,15.50029958011934,10,2093,26,46,5007,1,498.0,498,498,498,498,45014,35.28196764705882,25,2969,57,93,45014
5,1764,28344.67120181406,2,3,0.17006802721088435,0,0,0.0,2,3,0.17006802721088435,5068,14.840962904498816,10,2099,28,38,5068,1,862.0,862,862,862,862,44932,35.581879284251755,25,3069,66,85,44932
6,1792,27901.785714285714,2,3,0.16741071428571428,0,0,0.0,2,3,0.16741071428571428,5006,14.487298387096773,10,1934,28,47,5006,1,580.0,580,580,580,580,45040,35.33088365896986,25,3155,56,82,45040
7,1854,26968.71628910464,2,3,0.16172531942959002,0,0,0.0,2,3,0.16172531942959002,5007,15.07886393518157,10,1959,28,46,5007,1,441.0,441,441,441,441,45023,35.29196,25,3081,58,87,45023
8,1757,28457.598178713717,2,3,0.17094017094017094,0,0,0.0,2,3,0.17094017094017094,4996,14.687225322532253,10,1927,27,38,4996,1,492.0,492,492,492,492,45004,36.07510057119676,25,3289,67,90,45004
9,1680,29761.904761904763,2,3,0.17857142857142857,0,0,0.0,2,3,0.17857142857142857,4960,13.830219007434197,10,1899,24,35,4960,1,420.0,420,420,420,420,45040,32.707238522532926,25,3051,55,89,45040
10,1631,30656.039239730228,2,2,0.12269938650306746,0,0,0.0,2,2,0.12269938650306746,4986,14.198286803427749,10,1951,25,39,4986,1,390.0,390,390,390,390,45014,32.95394,24,2969,57,95,45014
