Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation(ms),TOTAL_GC_TIME_%_G1_Young_Generation,TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation(ms),TOTAL_GC_TIME_%_G1_Old_Generation,TOTAL_GCs_Count,TOTAL_GC_TIME(ms),TOTAL_GC_TIME_%,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,1987,25163.563160543534,2,3,0.1509813789632612,0,0,0.0,2,3,0.1509813789632612,1,502.0,502,502,502,502,50000,37.8847,30,3709,57,99,50000
2,1949,25654.181631605952,2,3,0.1539250897896357,0,0,0.0,2,3,0.1539250897896357,1,506.0,506,506,506,506,50000,37.28606,30,2851,61,93,50000
3,2102,23786.86964795433,2,4,0.19029495718363465,0,0,0.0,2,4,0.19029495718363465,1,489.0,489,489,489,489,50000,40.19868,30,2759,69,116,50000
4,2161,23137.43637204998,2,3,0.13882461823229986,0,0,0.0,2,3,0.13882461823229986,1,500.0,500,500,500,500,50000,41.42328,30,4399,81,101,50000
5,1963,25471.21752419766,2,3,0.15282730514518594,0,0,0.0,2,3,0.15282730514518594,1,733.0,733,733,733,733,50000,37.48916,30,4451,63,95,50000
6,2213,22593.764121102577,2,3,0.13556258472661548,0,0,0.0,2,3,0.13556258472661548,1,481.0,481,481,481,481,50000,42.21748,30,5179,77,141,50000
7,2004,24950.099800399203,2,3,0.14970059880239522,0,0,0.0,2,3,0.14970059880239522,1,524.0,524,524,524,524,50000,38.3807,30,5491,66,104,50000
8,1996,25050.1002004008,2,3,0.15030060120240482,0,0,0.0,2,3,0.15030060120240482,1,522.0,522,522,522,522,50000,38.06,30,5255,70,94,50000
9,2080,24038.46153846154,2,4,0.19230769230769232,0,0,0.0,2,4,0.19230769230769232,1,488.0,488,488,488,488,50000,39.75132,30,3397,66,97,50000
10,2021,24740.227610094014,2,3,0.14844136566056407,0,0,0.0,2,3,0.14844136566056407,1,542.0,542,542,542,542,50000,38.60456,30,3367,61,79,50000
