Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation(ms),TOTAL_GC_TIME_%_G1_Young_Generation,TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation(ms),TOTAL_GC_TIME_%_G1_Old_Generation,TOTAL_GCs_Count,TOTAL_GC_TIME(ms),TOTAL_GC_TIME_%,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,2441,20483.408439164275,4,5,0.20483408439164277,0,0,0.0,4,5,0.20483408439164277,1,491.0,491,491,491,491,50000,46.8852,34,4931,83,122,50000
2,2351,21267.54572522331,4,6,0.25521054870267973,0,0,0.0,4,6,0.25521054870267973,1,474.0,474,474,474,474,50000,45.24172,34,3185,83,126,50000
3,2268,22045.855379188713,4,5,0.2204585537918871,0,0,0.0,4,5,0.2204585537918871,1,425.0,425,425,425,425,50000,43.5292,33,3031,70,105,50000
4,2167,23073.373327180434,4,5,0.23073373327180433,0,0,0.0,4,5,0.23073373327180433,1,485.0,485,485,485,485,50000,41.62118,34,6183,62,101,50000
5,2439,20500.20500205002,4,6,0.24600246002460024,0,0,0.0,4,6,0.24600246002460024,1,459.0,459,459,459,459,50000,46.80506,34,5595,88,109,50000
6,2306,21682.56721595837,4,5,0.21682567215958368,0,0,0.0,4,5,0.21682567215958368,1,445.0,445,445,445,445,50000,44.23628,34,3077,70,105,50000
7,2412,20729.684908789386,4,5,0.20729684908789386,0,0,0.0,4,5,0.20729684908789386,1,509.0,509,509,509,509,50000,46.49676,33,3929,90,113,50000
8,2317,21579.628830384117,4,5,0.21579628830384118,0,0,0.0,4,5,0.21579628830384118,1,613.0,613,613,613,613,50000,44.427,34,5715,74,111,50000
9,2097,23843.58607534573,4,6,0.28612303290414876,0,0,0.0,4,6,0.28612303290414876,1,524.0,524,524,524,524,50000,40.12316,34,3495,55,95,50000
10,2562,19516.003122560498,4,6,0.234192037470726,0,0,0.0,4,6,0.234192037470726,1,583.0,583,583,583,583,50000,49.06606,34,5419,85,118,50000
