Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation(ms),TOTAL_GC_TIME_%_G1_Young_Generation,TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation(ms),TOTAL_GC_TIME_%_G1_Old_Generation,TOTAL_GCs_Count,TOTAL_GC_TIME(ms),TOTAL_GC_TIME_%,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,2298,21758.05047867711,4,6,0.26109660574412535,0,0,0.0,4,6,0.26109660574412535,1,418.0,418,418,418,418,50000,44.0176,34,3513,67,103,50000
2,2250,22222.222222222223,4,5,0.2222222222222222,0,0,0.0,4,5,0.2222222222222222,1,457.0,457,457,457,457,50000,43.24556,34,4447,69,104,50000
3,2143,23331.77788147457,4,6,0.2799813345776948,0,0,0.0,4,6,0.2799813345776948,1,478.0,478,478,478,478,50000,41.06248,34,3217,58,79,50000
4,2309,21654.395842356,4,5,0.21654395842356,0,0,0.0,4,5,0.21654395842356,1,447.0,447,447,447,447,50000,44.334,34,3423,76,106,50000
5,2282,21910.604732690623,4,6,0.26292725679228746,0,0,0.0,4,6,0.26292725679228746,1,554.0,554,554,554,554,50000,43.64932,34,3151,77,104,50000
6,2439,20500.20500205002,4,5,0.2050020500205002,0,0,0.0,4,5,0.2050020500205002,1,453.0,453,453,453,453,50000,46.81878,34,3353,75,105,50000
7,2202,22706.63033605813,4,5,0.2270663033605813,0,0,0.0,4,5,0.2270663033605813,1,446.0,446,446,446,446,50000,42.16624,34,5847,65,100,50000
8,2146,23299.161230195714,4,5,0.2329916123019571,0,0,0.0,4,5,0.2329916123019571,1,434.0,434,434,434,434,50000,41.11766,34,5243,55,86,50000
9,2192,22810.218978102188,4,5,0.22810218978102187,0,0,0.0,4,5,0.22810218978102187,1,407.0,407,407,407,407,50000,42.07754,34,6927,61,102,50000
10,2124,23540.48964218456,4,5,0.23540489642184556,0,0,0.0,4,5,0.23540489642184556,1,447.0,447,447,447,447,50000,40.75052,34,2953,58,94,50000
