Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation(ms),TOTAL_GC_TIME_%_G1_Young_Generation,TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation(ms),TOTAL_GC_TIME_%_G1_Old_Generation,TOTAL_GCs_Count,TOTAL_GC_TIME(ms),TOTAL_GC_TIME_%,READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,1964,25458.248472505093,2,3,0.15274949083503053,0,0,0.0,2,3,0.15274949083503053,4908,14.73960880195599,10,2217,27,39,4908,1,399.0,399,399,399,399,45092,39.783952807593366,30,2821,70,92,45092
2,1890,26455.026455026455,2,3,0.15873015873015872,0,0,0.0,2,3,0.15873015873015872,5027,13.841257211060274,10,2049,25,37,5027,1,494.0,494,494,494,494,44973,38.42541080203678,30,2957,64,90,44973
3,1992,25100.4016064257,2,3,0.15060240963855423,0,0,0.0,2,3,0.15060240963855423,5047,14.774123241529622,10,2017,29,41,5047,1,503.0,503,503,503,503,44953,40.53506996196027,30,3091,77,103,44953
4,2014,24826.216484607747,2,3,0.14895729890764647,0,0,0.0,2,3,0.14895729890764647,5005,15.180619380619381,10,3447,26,44,5005,1,490.0,490,490,490,490,44995,40.783020335592845,30,3033,76,102,44995
5,1864,26824.03433476395,2,3,0.1609442060085837,0,0,0.0,2,3,0.1609442060085837,5037,13.635894381576335,10,2067,23,45,5037,1,491.0,491,491,491,491,44963,37.86829170651424,30,3047,64,95,44963
6,1971,25367.833587011668,2,3,0.15220700152207,0,0,0.0,2,3,0.15220700152207,4853,14.75643931588708,10,1979,25,44,4853,1,412.0,412,412,412,412,45147,39.909872195273216,30,2891,76,96,45147
7,1920,26041.666666666668,2,3,0.15625,0,0,0.0,2,3,0.15625,4989,14.160753658047705,10,2000,26,45,4989,1,511.0,511,511,511,511,45011,38.865455110972874,30,3087,65,95,45011
8,2013,24838.549428713362,2,3,0.14903129657228018,0,0,0.0,2,3,0.14903129657228018,4979,15.098011648925487,10,3157,27,38,4979,1,410.0,410,410,410,410,45021,40.70131716310166,30,2857,76,87,45021
9,1913,26136.957658128595,2,3,0.15682174594877157,0,0,0.0,2,3,0.15682174594877157,5042,14.173145572116487,10,2091,24,37,5042,1,871.0,871,871,871,871,44958,38.85239556919792,30,2843,63,87,44958
10,1912,26150.62761506276,2,3,0.15690376569037656,0,0,0.0,2,3,0.15690376569037656,4937,14.966578894065222,10,2477,25,42,4937,1,499.0,499,499,499,499,45063,38.630539466968465,30,2843,63,98,45063
